P60,P66,w1,w11,w13,w17,w19,w2,w21,w211,w22,w28,w290,w3,w30,w32,w33,w34,w36,w37,w38,w39,w41,w44,w45,w54,w7,α
ν̣ηθια,λεγει,λεγει,Λεγει,λεγει,λεγει,λεγει,Λεγει,λεγει,Λεγει,λεγει,λεγει,Λ̣έγει,λεγει,λεγει,λεγει,λεγει,λεγει,λεγει,Λεγει,Λεγει,λεγει,λεγει,Λεγει,λεγει,Λεγει,λεγει,λέγει
,ου̣ν,,,,,,,,,,,,,,,,,,,,,,,,,,
,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτῶ,αυτω,αυΤω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυτω,αυΤω,αυτω,αυτω,αὐτῷ
,,ο,ο,ο,ο,ο,ο,ο,ο,ο,Ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ο,ὁ
,πειλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πειλατοϲ,πιλατοϲ,πειλατοϲ,πιλατοϲ,πιλατοϲ,πιλάτοϲ,πειλατοϲ,πιλατοϲ,πειλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πειλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,πιλατοϲ,Πιλᾶτος
,τι,τιϲ,τι,τι,τι,τι,τι,τι,τι,τι,τι,τί,τι,τι,τι,τι,τι,τι,Τι,τι,τι,τι,τι,τι,τι,τι,τί
,εϲτι¯,εϲτι¯,εϲτιν,εϲτιν,εϲτιν,εϲτιν,εϲτιν̣,εϲτιν,εϲτιν,εϲτι¯,εϲτιν,ε̣ϲ̣τιν,εϲτιν,εϲτιν,εϲτιν,εϲτιν,εϲτιν,εϲτιν,εϲτιν,εϲτι¯,εϲτιν,εϲτιν,εϲτιν,εϲτιν,εϲτιν,εϲτιν,ἐστιν
,αληθια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθηα,αληθεια,αληθεια,αληθεια,αλήθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,αληθεια,ἀλήθεια
,και,και,Και,και,και,και,και,και,και,και,και,και,και,και,και,και,και,και,Και,και,και,και,Και,και,Και,και,Καὶ
,τουτο,τουτο,τουτο,τουτο,τουτο,τουτο,τουτο,τουτο,τουΤο,τουτο,τουτο,τουτ̣ο,τουτο,τουΤο,τουτο,τουτο,τουτο,τουτο,τουτο,τουτο,Τουτο,τουτο,τουτο,τουτο,τουτο,τουτο,τοῦτο
